id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
52;Cedric Johnson;This video was incredibly helpful. Thank you so much! 🖤✨;Ugy8mqPefb-cY8RDXCJ4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugy8mqPefb-cY8RDXCJ4AaABAg;2020-12-07 17:19:42;1;This video was incredibly helpful. Thank you so much! 🖤✨;http://www.youtube.com/channel/UCL8waPKoMyQMR2AbvKJTfwQ;0
53;Joanna Yung;Thank you so much! I appreciate it !!;Ugy8mqPefb-cY8RDXCJ4AaABAg.9GzLMDQB4Oc9GzgCVjU_bx;Cedric Johnson;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugy8mqPefb-cY8RDXCJ4AaABAg.9GzLMDQB4Oc9GzgCVjU_bx;2020-12-07 20:30:37;0;Thank you so much! I appreciate it !!;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
54;SandStorm XII;teach me the ways;UgzXZQxIeHNLq1pRc7R4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzXZQxIeHNLq1pRc7R4AaABAg;2020-12-06 20:36:52;0;teach me the ways;http://www.youtube.com/channel/UC2jh0wxY1JD-XBdM1K3bOow;0
55;Parker Hurley;This was super helpful! Thanks Joanna!;UgwRl8uu23IfSIum1Pp4AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwRl8uu23IfSIum1Pp4AaABAg;2020-12-06 18:39:49;1;This was super helpful! Thanks Joanna!;http://www.youtube.com/channel/UCtb-IilTAsj228BfPzajZpQ;0
56;Joanna Yung;Glad to hear!!;UgwRl8uu23IfSIum1Pp4AaABAg.9Gwuj8cv9k29Gx9--XnRPN;Parker Hurley;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwRl8uu23IfSIum1Pp4AaABAg.9Gwuj8cv9k29Gx9--XnRPN;2020-12-06 20:53:11;0;Glad to hear!!;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
57;Giovi Gang;What island was that in Asia? Giliad??;UgzkvAhzOjiEeXSE4Kt4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzkvAhzOjiEeXSE4Kt4AaABAg;2020-11-23 19:26:07;4;What island was that in Asia? Giliad??;http://www.youtube.com/channel/UCEXEQJaNvYrc2n0eBGZ8GOQ;0
58;Giovi Gang;@Joanna Yung good to know.;UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQk4yvNddb;Giovi Gang;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQk4yvNddb;2020-11-23 21:31:53;0;@Joanna Yung good to know.;http://www.youtube.com/channel/UCEXEQJaNvYrc2n0eBGZ8GOQ;0
59;Joanna Yung;@Giovi Gang I was there since March before lockdown;UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQjas2sUgd;Giovi Gang;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQjas2sUgd;2020-11-23 21:27:38;0;@Giovi Gang I was there since March before lockdown;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
60;Joanna Yung;It’s called gili air island;UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQjZkv_VPq;Giovi Gang;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQjZkv_VPq;2020-11-23 21:27:21;0;It’s called gili air island;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
61;Giovi Gang;Also, how did get into the country if it’s locked down?;UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQX-03IT8q;Giovi Gang;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgzkvAhzOjiEeXSE4Kt4AaABAg.9GQWgmiksiF9GQX-03IT8q;2020-11-23 19:28:44;0;Also, how did get into the country if it’s locked down?;http://www.youtube.com/channel/UCEXEQJaNvYrc2n0eBGZ8GOQ;0
